,canonical_smiles,-log(M)
289,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.657577319177793
292,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,7.096910013008056
296,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.522878745280337
298,COc1ccc(Nc2cc3c(cc2Nc2ccc(OC)cc2)C(=O)NC3=O)cc1,4.301029995663981
300,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,5.060480747381382
302,COC(=O)c1cc(Nc2ccccc2)c(Nc2ccccc2)cc1C(=O)OC,4.0
308,O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.029188389127483
309,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(=O)O)cc3)nc21,6.657577319177793
310,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,7.180456064458132
314,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)nc21,5.301029995663981
315,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21,6.0
316,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.838631997765025
318,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.920818753952375
320,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21,6.721246399047171
329,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,5.6020599913279625
331,O=C1NC(=O)c2cc(Nc3ccc(-c4ccccc4)cc3)c(Nc3ccc(-c4ccccc4)cc3)cc21,4.301029995663981
333,CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.958607314841775
336,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCO)nc21,5.301029995663981
337,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,6.292429823902063
338,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.982966660701219
341,O=C(/C=C/c1ccccc1)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.040958607678906
343,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(N)nc21,5.251811972993799
348,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.040958607678906
350,O=C(/C=C/C(F)(F)F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.756961951313706
352,C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.795880017344075
354,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,6.309803919971486
356,CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.853871964321762
357,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,6.6777807052660805
362,N#Cc1ccc(Nc2cc3c(cc2Nc2ccc(C#N)cc2)C(=O)NC3=O)cc1,4.0
363,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.619788758288394
366,C=C[S+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.337242168318426
368,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.1249387366083
369,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccn3)nc21,5.301029995663981
370,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(Cl)cc3)nc21,5.301029995663981
371,C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.958607314841775
373,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.119186407719209
376,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21,7.096910013008056
378,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,6.040958607678906
381,O=C1NC(=O)c2cc3c(cc21)N(c1ccccc1)CCN3c1ccccc1,4.0
382,O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.431798275933005
384,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.585026652029182
391,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,9.2518119729938
394,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,5.060480747381382
395,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCc3ccccn3)nc21,5.301029995663981
399,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.346787486224656
400,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.318758762624412
402,CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,4.301029995663981
403,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,6.154901959985743
405,O=C1NC(=O)c2cc(Nc3ccc(I)cc3)c(Nc3ccc(I)cc3)cc21,4.301029995663981
406,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,5.698970004336019
408,CC(=O)N(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,4.301029995663981
410,CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.356547323513812
414,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,7.080921907623926
416,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,4.301029995663981
417,CN1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,4.301029995663981
419,CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.356547323513812
424,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1,4.6020599913279625
425,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,5.119186407719209
426,Oc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.008773924307505
437,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.130768280269024
438,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.167491087293763
439,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,8.0
445,O=C(NCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(F)(F)F,7.130768280269024
450,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,7.698970004336019
457,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,7.568636235841013
462,CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,6.982966660701219
469,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,6.580044251510242
470,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,7.958607314841775
472,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)c2c1,7.031517051446065
473,C=CCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,7.102372908709558
488,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c2c1,7.619788758288394
493,CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,6.080921907623926
501,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(Oc4ccccc4Cl)oc23)[C@H](O)C1,4.301029995663981
502,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4Cl)oc23)[C@H](O)C1,4.301029995663981
